age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,0,1,1,0,0.25252514336959164,1,0,2,5,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
56,0,1,1,0,-0.459973601201242,0,0,2,5,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
41,9,1,1,0,-0.08016030176726845,1,0,2,5,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
55,7,1,1,0,0.2937620158795659,1,0,2,5,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
54,0,1,2,0,-0.4168764186532238,0,0,2,5,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
42,4,2,2,0,-0.47392592648657167,1,1,2,5,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
56,4,1,2,0,-0.2165830378904916,1,1,2,6,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
60,5,0,1,0,-0.30494776469757934,1,0,2,6,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
37,9,1,1,0,-0.4736158748135643,1,0,2,6,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
28,7,2,1,0,1.1042370891207143,1,0,2,6,8,0.8994389971860228,0.18059759477928267,-0.5764714730234299,-0.3632598446560345,3,1
38,0,2,1,0,-0.4429207591858391,1,0,2,7,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
30,1,1,1,0,-0.3781199595273081,1,0,2,7,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
29,4,1,2,0,-0.4122256435581139,1,1,2,7,8,0.8994389971860228,0.5479805641480365,-0.5764714730234299,-0.3632598446560345,3,1
46,1,2,2,0,-0.33130215690320197,1,0,2,7,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
31,9,2,2,0,-0.25595960036242194,1,0,2,8,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
35,4,0,2,0,0.7157423428425357,1,0,2,8,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
32,1,2,0,0,-0.28448435427909585,1,0,2,8,8,0.8994389971860228,0.18059759477928267,-0.5764714730234299,-0.3632598446560345,3,1
49,7,1,1,0,-0.47640633987063025,1,0,2,8,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
41,0,1,1,0,-0.45687308447116876,1,0,2,8,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
49,0,0,1,0,-0.421837245421341,1,1,2,8,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
28,0,0,1,0,-0.23053536317582124,1,0,2,8,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
43,4,2,2,0,0.16695088161956984,1,0,2,8,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
43,4,0,2,0,-0.3536258773597294,1,0,2,8,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
43,1,1,0,0,-0.5334558477039781,1,0,2,8,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
37,10,2,1,0,-0.3557962390707807,1,0,2,8,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
35,1,2,1,0,-0.4615238595662786,1,0,2,9,8,0.8994389971860228,0.5479805641480365,-0.5764714730234299,-0.3632598446560345,3,1
31,9,2,2,0,-0.46710478968041047,1,0,2,9,8,0.8994389971860228,0.18059759477928267,-0.5764714730234299,-0.3632598446560345,3,1
43,1,2,1,0,-0.4729957714675497,1,0,2,9,8,0.8994389971860228,0.18059759477928267,-0.5764714730234299,-0.3632598446560345,3,1
31,0,1,1,0,-0.37874006287332274,1,0,2,9,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
28,1,2,1,0,-0.2385967066740117,1,0,2,9,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
32,1,1,1,1,-0.47423597815957896,1,0,2,9,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
60,9,1,0,0,-0.4537725677410955,1,0,2,9,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
26,1,2,1,0,-0.448501689299971,1,0,2,9,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
40,1,1,1,0,-0.4708254097564984,1,0,2,9,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
33,1,0,0,0,-0.35300577401371475,1,0,2,9,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
32,4,2,2,0,-0.37749985618129345,0,0,2,12,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
35,1,1,0,0,-0.34556453386153896,0,0,2,13,8,0.8994389971860228,0.5479805641480365,-0.5764714730234299,-0.3632598446560345,3,1
33,4,0,1,0,-0.47237566812153503,1,0,2,13,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
38,4,1,2,0,-0.4370297773986999,1,0,2,13,8,0.8994389971860228,0.5479805641480365,-0.5764714730234299,-0.3632598446560345,3,1
23,2,2,0,0,-0.4726857197945423,1,0,2,13,8,0.8994389971860228,-0.18678537458947123,-0.5764714730234299,-0.3632598446560345,3,1
60,1,1,0,0,-0.08264071515132705,1,1,2,13,8,0.8994389971860228,-0.5541683439582251,-0.5764714730234299,-0.3632598446560345,3,1
